empty_cells,filled_cells,fill_ratio,empty_per_row_mean,empty_per_row_std,empty_per_row_min,empty_per_row_max,empty_per_col_mean,empty_per_col_std,empty_per_col_min,empty_per_col_max,empty_per_box_mean,empty_per_box_std,empty_per_box_min,empty_per_box_max,isolated_cells,givens_variance,digit_entropy,difficulty
48,33,0.4074074074074074,5.333333333333333,0.816496580927726,4,7,5.333333333333333,1.4907119849998598,2,7,5.333333333333333,0.816496580927726,4,6,19,0.6666666666666666,3.0947366518542907,medium
32,49,0.6049382716049383,3.5555555555555554,1.2570787221094177,2,5,3.5555555555555554,1.892154040658489,0,6,3.5555555555555554,1.640535895581489,1,6,0,2.691358024691358,3.1530900203370185,easy
44,37,0.4567901234567901,4.888888888888889,1.1967032904743342,3,6,4.888888888888889,1.3698697784375502,2,7,4.888888888888889,1.5234788000891208,3,8,11,2.3209876543209877,3.0877373260608985,medium
61,20,0.24691358024691357,6.777777777777778,1.227262335243029,4,8,6.777777777777778,1.0304020550550783,6,9,6.777777777777778,1.1331154474650633,4,8,58,1.2839506172839508,2.8709505944546687,hard
54,27,0.3333333333333333,6.0,1.4142135623730951,3,8,6.0,1.4907119849998598,4,8,6.0,1.4907119849998598,4,9,39,2.2222222222222223,3.083798039987033,hard
34,47,0.5802469135802469,3.7777777777777777,0.6285393610547089,3,5,3.7777777777777777,1.314684396244359,1,6,3.7777777777777777,1.314684396244359,2,6,0,1.7283950617283952,3.114988525186197,easy
61,20,0.24691358024691357,6.777777777777778,1.1331154474650633,6,9,6.777777777777778,1.617802197617893,3,9,6.777777777777778,0.9162456945817024,5,8,59,0.8395061728395061,2.841446071165522,hard
57,24,0.2962962962962963,6.333333333333333,1.7638342073763937,2,8,6.333333333333333,1.247219128924647,4,8,6.333333333333333,1.699673171197595,2,8,49,2.8888888888888893,3.0901998765158556,hard
57,24,0.2962962962962963,6.333333333333333,0.9428090415820634,5,8,6.333333333333333,1.1547005383792515,4,8,6.333333333333333,0.816496580927726,5,8,48,0.6666666666666666,3.0535088547976783,hard
64,17,0.20987654320987653,7.111111111111111,1.1967032904743342,5,9,7.111111111111111,0.7370277311900888,6,8,7.111111111111111,0.8748897637790901,6,9,63,0.7654320987654322,2.8954238702803154,hard
46,35,0.43209876543209874,5.111111111111111,1.4487116456005884,2,7,5.111111111111111,1.852592444503674,3,8,5.111111111111111,1.4487116456005886,2,7,20,2.0987654320987654,3.0840313333599974,medium
60,21,0.25925925925925924,6.666666666666667,1.4907119849998598,4,9,6.666666666666667,1.247219128924647,5,8,6.666666666666667,1.6329931618554518,4,9,55,2.6666666666666665,2.760666827231598,hard
37,44,0.5432098765432098,4.111111111111111,1.3698697784375504,1,6,4.111111111111111,1.0999438818457405,2,6,4.111111111111111,1.0999438818457405,2,6,1,1.2098765432098766,3.146963301322424,easy
37,44,0.5432098765432098,4.111111111111111,2.1829869671542776,0,7,4.111111111111111,1.286204100310025,2,6,4.111111111111111,1.9116278371205837,1,7,7,3.654320987654321,3.0820825519525754,easy
64,17,0.20987654320987653,7.111111111111111,1.0999438818457405,5,9,7.111111111111111,0.8748897637790902,5,8,7.111111111111111,1.5234788000891208,5,9,64,2.3209876543209877,2.654255313215029,hard
52,29,0.35802469135802467,5.777777777777778,1.227262335243029,4,8,5.777777777777778,1.8121673811444545,2,8,5.777777777777778,1.617802197617893,3,8,39,2.617283950617284,3.0952425303426154,medium
45,36,0.4444444444444444,5.0,1.8257418583505538,3,8,5.0,1.3333333333333333,3,7,5.0,1.7638342073763937,3,8,18,3.111111111111111,2.9982358495705332,medium
37,44,0.5432098765432098,4.111111111111111,1.1967032904743342,2,6,4.111111111111111,0.9938079899999066,3,6,4.111111111111111,1.286204100310025,1,6,0,1.6543209876543208,3.107159893947126,easy
51,30,0.37037037037037035,5.666666666666667,2.211083193570267,3,9,5.666666666666667,1.4907119849998596,3,8,5.666666666666667,0.9428090415820634,4,7,35,0.8888888888888888,3.1274213294333806,medium
34,47,0.5802469135802469,3.7777777777777777,1.1331154474650633,2,5,3.7777777777777777,1.4740554623801778,2,6,3.7777777777777777,0.7856742013183862,3,5,0,0.6172839506172839,3.082656735350317,easy
44,37,0.4567901234567901,4.888888888888889,0.7370277311900888,4,6,4.888888888888889,0.9938079899999066,4,7,4.888888888888889,0.7370277311900888,4,6,6,0.5432098765432098,2.9989006644986564,medium
50,31,0.38271604938271603,5.555555555555555,1.5713484026367723,3,8,5.555555555555555,1.4229164972072998,3,8,5.555555555555555,1.4229164972072998,3,8,26,2.0246913580246915,3.0787458107927583,medium
56,25,0.30864197530864196,6.222222222222222,1.0304020550550783,5,8,6.222222222222222,1.314684396244359,5,9,6.222222222222222,1.227262335243029,4,8,45,1.506172839506173,3.113269689515108,hard
52,29,0.35802469135802467,5.777777777777778,1.6850834320114558,3,9,5.777777777777778,1.1331154474650633,4,8,5.777777777777778,1.6850834320114556,2,8,35,2.839506172839506,3.0523076166241143,medium
42,39,0.48148148148148145,4.666666666666667,1.0540925533894596,3,7,4.666666666666667,1.4142135623730951,2,7,4.666666666666667,1.5634719199411433,3,7,9,2.4444444444444446,3.144788284109324,medium
49,32,0.3950617283950617,5.444444444444445,1.4229164972072998,3,8,5.444444444444445,1.8324913891634047,2,8,5.444444444444445,1.2570787221094177,4,8,30,1.5802469135802468,3.1022170014624826,medium
58,23,0.2839506172839506,6.444444444444445,1.3425606637327303,4,9,6.444444444444445,1.2570787221094177,4,8,6.444444444444445,1.0657403385139377,5,8,49,1.1358024691358024,3.0879293469851055,hard
51,30,0.37037037037037035,5.666666666666667,0.9428090415820634,4,7,5.666666666666667,1.247219128924647,3,8,5.666666666666667,1.247219128924647,3,7,28,1.5555555555555554,2.9492553971685,medium
34,47,0.5802469135802469,3.7777777777777777,1.547598697464902,0,6,3.7777777777777777,0.6285393610547089,3,5,3.7777777777777777,1.617802197617893,2,7,0,2.617283950617284,3.139204948003769,easy
57,24,0.2962962962962963,6.333333333333333,1.8257418583505538,4,9,6.333333333333333,1.4142135623730951,3,8,6.333333333333333,0.6666666666666666,6,8,48,0.4444444444444444,3.1053885422075336,hard
32,49,0.6049382716049383,3.5555555555555554,1.4229164972072998,1,6,3.5555555555555554,1.7069212773041351,2,7,3.5555555555555554,1.2570787221094177,1,5,2,1.5802469135802468,3.0771854272246495,easy
39,42,0.5185185185185185,4.333333333333333,1.7638342073763937,2,7,4.333333333333333,1.9436506316151,0,7,4.333333333333333,1.632993161855452,2,7,9,2.6666666666666665,3.107833210824613,easy
48,33,0.4074074074074074,5.333333333333333,1.4907119849998598,3,7,5.333333333333333,1.0540925533894596,3,7,5.333333333333333,1.1547005383792515,4,7,23,1.3333333333333333,2.986329059937434,medium
